corner,vdd,vin1_frac,expected_fall,delay_s,v1late,v2late,verdict
ss,3.0,0.45,1,1.41714E-09,-0.0201571,2.99912,PASS
ss,3.0,0.55,2,1.40236E-09,2.99909,-0.0365455,PASS
ss,3.0,0.70,2,1.37872E-09,2.99882,-0.0229207,PASS
ss,3.0,0.85,2,1.36788E-09,2.99978,-0.00422217,PASS
ss,3.0,0.97,2,1.36315E-09,3.00017,-0.00398735,PASS
ss,3.3,0.03,1,1.36605E-09,-0.000382117,3.30002,PASS
ss,3.3,0.15,1,1.36639E-09,-0.000381351,3.30002,PASS
ss,3.3,0.30,1,1.36711E-09,-0.000242993,3.30001,PASS
ss,3.3,0.45,1,1.3699E-09,-0.038454,3.29921,PASS
ss,3.3,0.55,2,1.36342E-09,3.29838,-0.0617675,PASS
ss,3.3,0.70,2,1.34334E-09,3.299,-0.0423665,PASS
ss,3.3,0.85,2,1.33522E-09,3.2987,-0.0184786,PASS
ss,3.3,0.97,2,1.33228E-09,3.29998,-0.00505042,PASS
ss,3.6,0.03,1,1.33642E-09,-0.000343573,3.60001,PASS
ss,3.6,0.15,1,1.33666E-09,-0.000340665,3.60001,PASS
ss,3.6,0.30,1,1.33725E-09,-0.000814785,3.59992,PASS
ss,3.6,0.45,1,1.34068E-09,-0.0587649,3.59877,PASS
ss,3.6,0.55,2,1.33514E-09,3.60249,-0.0657829,PASS
ss,3.6,0.70,2,1.31763E-09,3.59888,-0.0613182,PASS
ss,3.6,0.85,2,1.31202E-09,3.59845,-0.0405678,PASS
ss,3.6,0.97,2,1.31246E-09,3.59886,-0.0154291,PASS
tt,3.0,0.03,1,1.27159E-09,-9.79877E-05,3,PASS
tt,3.0,0.15,1,1.27171E-09,-9.5287E-05,3,PASS
tt,3.0,0.30,1,1.27195E-09,-0.00363562,2.99979,PASS
tt,3.0,0.45,1,1.27597E-09,-0.104527,2.99924,PASS
tt,3.0,0.55,2,1.27189E-09,2.9998,-0.0927724,PASS
tt,3.0,0.70,2,1.26279E-09,3.00003,-0.0905994,PASS
tt,3.0,0.85,2,1.26247E-09,2.99816,-0.061633,PASS
tt,3.0,0.97,2,1.26321E-09,2.99915,-0.04211,PASS
tt,3.3,0.03,1,1.25307E-09,-9.36939E-05,3.3,PASS
tt,3.3,0.15,1,1.25315E-09,-8.79699E-05,3.3,PASS
tt,3.3,0.30,1,1.25331E-09,-0.0122687,3.29966,PASS
tt,3.3,0.45,1,1.25645E-09,-0.100868,3.29979,PASS
tt,3.3,0.55,2,1.25409E-09,3.29974,-0.0676473,PASS
tt,3.3,0.70,2,1.24903E-09,3.29992,-0.0625357,PASS
tt,3.3,0.85,2,1.24931E-09,3.30154,-0.067928,PASS
tt,3.3,0.97,2,1.24991E-09,3.2978,-0.0728346,PASS
tt,3.6,0.03,1,1.23986E-09,-8.637E-05,3.6,PASS
tt,3.6,0.15,1,1.23989E-09,-7.52133E-05,3.6,PASS
tt,3.6,0.30,1,1.23995E-09,-0.0216996,3.59976,PASS
tt,3.6,0.45,1,1.24242E-09,-0.0793819,3.59975,PASS
tt,3.6,0.55,2,1.24129E-09,3.59971,-0.0464358,PASS
tt,3.6,0.70,2,1.23855E-09,3.59973,-0.0412537,PASS
tt,3.6,0.85,2,1.23894E-09,3.6003,-0.0380264,PASS
tt,3.6,0.97,2,1.23951E-09,3.60268,-0.0501305,PASS
