corner,vdd,vcm,delay_s,v1min,v2min,verdict
ss,3.0,1.65,1.24952E-09,-0.0567262,1.56995,PARTIAL
ss,3.0,2.0,1.22225E-09,-0.0576243,1.76705,PARTIAL
ss,3.0,2.4,1.20647E-09,-0.0605023,1.88365,PARTIAL
ss,3.0,2.8,1.19987E-09,-0.0405635,1.93689,PARTIAL
ss,3.3,0.4,1.23786E-09,1.28059,-7.49662E-05,PARTIAL
ss,3.3,0.7,1.24032E-09,1.39785,-0.00492963,PARTIAL
ss,3.3,1.0,1.24759E-09,1.51797,-0.0179418,PARTIAL
ss,3.3,1.3,1.23358E-09,-0.0330955,1.25075,PARTIAL
ss,3.3,1.65,1.19633E-09,-0.0602266,1.82343,PARTIAL
ss,3.3,2.0,1.17307E-09,-0.0611982,2.02258,PARTIAL
ss,3.3,2.4,1.15946E-09,-0.0664001,2.14899,PARTIAL
ss,3.3,2.8,1.15368E-09,-0.0537976,2.21447,PARTIAL
ss,3.6,0.4,1.2017E-09,1.38389,-7.50786E-05,PARTIAL
ss,3.6,0.7,1.20415E-09,1.5213,-0.00492689,PARTIAL
ss,3.6,1.0,1.21006E-09,1.64616,-0.0181462,PARTIAL
ss,3.6,1.3,1.19146E-09,-0.0334643,1.63518,PARTIAL
ss,3.6,1.65,1.15736E-09,-0.063327,2.06137,PARTIAL
ss,3.6,2.0,1.13715E-09,-0.0641052,2.26529,PARTIAL
ss,3.6,2.4,1.12523E-09,-0.0711477,2.39872,PARTIAL
ss,3.6,2.8,1.12014E-09,-0.0648067,2.47674,PARTIAL
tt,3.0,0.4,1.12028E-09,1.1912,-1.54379E-05,PARTIAL
tt,3.0,0.7,1.12512E-09,1.35929,-0.00463663,PARTIAL
tt,3.0,1.0,1.09514E-09,-0.0199551,1.63742,PARTIAL
tt,3.0,1.3,1.06182E-09,-0.0805187,1.98429,PARTIAL
tt,3.0,1.65,1.04713E-09,-0.0599546,2.17383,PASS
tt,3.0,2.0,1.04455E-09,-0.0610033,2.27658,PASS
tt,3.0,2.4,1.04776E-09,-0.0431839,2.34506,PASS
tt,3.0,2.8,1.05082E-09,-0.0181127,2.39052,PASS
tt,3.3,0.4,1.09216E-09,1.29605,-1.49307E-05,PARTIAL
tt,3.3,0.7,1.09626E-09,1.48297,-0.0046378,PARTIAL
tt,3.3,1.0,1.06536E-09,-0.0198674,1.85717,PARTIAL
tt,3.3,1.3,1.03636E-09,-0.083258,2.2157,PARTIAL
tt,3.3,1.65,1.02366E-09,-0.0631177,2.41401,PASS
tt,3.3,2.0,1.02189E-09,-0.0649154,2.52609,PASS
tt,3.3,2.4,1.02657E-09,-0.0542692,2.61102,PASS
tt,3.3,2.8,1.03183E-09,-0.0211735,2.6769,PASS
tt,3.6,0.4,1.07077E-09,1.4007,-1.53535E-05,PARTIAL
tt,3.6,0.7,1.0742E-09,1.60257,-0.00464552,PARTIAL
tt,3.6,1.0,1.04308E-09,-0.0197749,2.07339,PARTIAL
tt,3.6,1.3,1.01716E-09,-0.0851991,2.44381,PARTIAL
tt,3.6,1.65,1.00562E-09,-0.0658123,2.6499,PASS
tt,3.6,2.0,1.00415E-09,-0.0679204,2.77056,PASS
tt,3.6,2.4,1.00929E-09,-0.0639946,2.8718,PASS
tt,3.6,2.8,1.01622E-09,-0.0245324,2.95192,PASS
