corner,vdd,vcm,delay_s,v1late,v2late,v1min,v2min,verdict
sf,3.3,1.0,1.38577E-09,-0.0147047,3.29999,-0.0147745,2.04848,PASS
sf,3.3,1.3,1.35345E-09,-0.042911,3.29934,-0.0527148,2.39383,PASS
sf,3.3,1.65,1.34549E-09,-0.0901848,3.29974,-0.092228,2.59278,PASS
sf,3.3,2.0,1.35423E-09,-0.0454497,3.2997,-0.0642903,2.72953,PASS
sf,3.3,2.4,1.37183E-09,-0.0309374,3.29966,-0.043236,2.86363,PASS
sf,3.3,2.8,1.38898E-09,-0.0223545,3.29985,-0.0239837,2.95635,PASS
sf,3.6,0.4,1.40931E-09,3.6,-2.84937E-06,1.47859,-2.87286E-06,WRONGPOL
sf,3.6,0.7,1.41287E-09,3.6,-0.00197596,1.64063,-0.00197598,WRONGPOL
sf,3.6,1.0,1.36087E-09,-0.0147819,3.59999,-0.0148328,2.26639,PASS
sf,3.6,1.3,1.33205E-09,-0.0400767,3.59957,-0.0479647,2.6275,PASS
sf,3.6,1.65,1.32484E-09,-0.0946221,3.59974,-0.0968301,2.83398,PASS
sf,3.6,2.0,1.33313E-09,-0.0500447,3.59971,-0.0671641,2.98533,PASS
sf,3.6,2.4,1.35168E-09,-0.0357705,3.59964,-0.0533286,3.13662,PASS
sf,3.6,2.8,1.37233E-09,-0.0261668,3.59977,-0.0288061,3.24407,PASS
ss,3.0,0.4,1.58556E-09,3,-6.99083E-05,1.20189,-7.38926E-05,WRONGPOL
ss,3.0,0.7,1.59042E-09,2.99999,-0.0049073,1.3252,-0.0049305,WRONGPOL
ss,3.0,1.0,1.58754E-09,2.99998,-0.0175795,1.30169,-0.0176742,WRONGPOL
ss,3.0,1.3,1.54138E-09,-0.0316539,2.99989,-0.0324481,1.66025,PASS
ss,3.0,1.65,1.50511E-09,-0.0551443,3.00022,-0.056726,1.92214,PASS
ss,3.0,2.0,1.4895E-09,-0.0208853,3.00016,-0.0575607,2.06311,PASS
ss,3.0,2.4,1.48443E-09,-0.0165235,2.99999,-0.0559974,2.14994,PASS
ss,3.0,2.8,1.48354E-09,-0.015543,3,-0.0186721,2.19457,PASS
ss,3.3,0.4,1.53818E-09,3.3,-7.1891E-05,1.30902,-7.49569E-05,WRONGPOL
ss,3.3,0.7,1.54269E-09,3.3,-0.00491523,1.45224,-0.00492961,WRONGPOL
ss,3.3,1.0,1.53409E-09,-0.0173288,3.29999,-0.0173788,1.35849,PASS
ss,3.3,1.3,1.49081E-09,-0.0323456,3.2999,-0.0331007,1.89982,PASS
ss,3.3,1.65,1.46056E-09,-0.0585958,3.30021,-0.0602262,2.16885,PASS
ss,3.3,2.0,1.44807E-09,-0.0229692,3.30009,-0.0611659,2.31793,PASS
ss,3.3,2.4,1.44525E-09,-0.0181854,3.29997,-0.0628947,2.41628,PASS
ss,3.3,2.8,1.44716E-09,-0.0170108,3.29999,-0.0249551,2.46892,PASS
ss,3.6,0.4,1.502E-09,3.6,-7.24546E-05,1.41645,-7.50474E-05,WRONGPOL
ss,3.6,0.7,1.5061E-09,3.6,-0.00491804,1.57778,-0.00492684,WRONGPOL
ss,3.6,1.0,1.49327E-09,-0.0175186,3.59999,-0.0175586,1.63822,PASS
ss,3.6,1.3,1.45325E-09,-0.0328295,3.59992,-0.0334737,2.13204,PASS
ss,3.6,1.65,1.4272E-09,-0.0622069,3.60004,-0.0633266,2.40785,PASS
ss,3.6,2.0,1.41678E-09,-0.0250083,3.60004,-0.0640901,2.56339,PASS
ss,3.6,2.4,1.41542E-09,-0.0197698,3.59995,-0.0686109,2.67141,PASS
ss,3.6,2.8,1.41956E-09,-0.0183601,3.59998,-0.0357499,2.73446,PASS
tt,3.0,0.4,1.4205E-09,3,-1.52335E-05,1.2134,-1.54455E-05,WRONGPOL
tt,3.0,0.7,1.41867E-09,-0.00452266,3,-0.00452291,1.23499,PASS
tt,3.0,1.0,1.36633E-09,-0.0195694,2.99996,-0.0199594,1.95334,PASS
tt,3.0,1.3,1.34533E-09,-0.0782494,2.99947,-0.0805271,2.22271,PASS
tt,3.0,1.65,1.34591E-09,-0.0536256,2.99974,-0.0599486,2.39098,PASS
tt,3.0,2.0,1.36088E-09,-0.030454,2.99968,-0.0568051,2.52318,PASS
tt,3.0,2.4,1.38137E-09,-0.021411,2.99982,-0.0231253,2.63947,PASS
tt,3.0,2.8,1.3997E-09,-0.0174747,2.99993,-0.0181188,2.68752,PASS
tt,3.3,0.4,1.39237E-09,3.3,-1.4317E-05,1.32134,-1.49644E-05,WRONGPOL
tt,3.3,0.7,1.38852E-09,-0.00451908,3.3,-0.00452259,1.46481,PASS
tt,3.3,1.0,1.34075E-09,-0.0195795,3.29997,-0.0198721,2.18028,PASS
tt,3.3,1.3,1.32226E-09,-0.0807046,3.29938,-0.0832715,2.4595,PASS
tt,3.3,1.65,1.32318E-09,-0.059052,3.29974,-0.063116,2.64003,PASS
tt,3.3,2.0,1.33832E-09,-0.0347906,3.29968,-0.0620736,2.79346,PASS
tt,3.3,2.4,1.36213E-09,-0.0255313,3.29973,-0.0279688,2.92313,PASS
tt,3.3,2.8,1.38845E-09,-0.0201001,3.29989,-0.0211863,2.98916,PASS
tt,3.6,0.4,1.37096E-09,3.6,-1.33945E-05,1.42874,-1.53468E-05,WRONGPOL
tt,3.6,0.7,1.36563E-09,-0.0045187,3.6,-0.00452901,1.66109,PASS
tt,3.6,1.0,1.32122E-09,-0.019558,3.59998,-0.0197812,2.40455,PASS
tt,3.6,1.3,1.3044E-09,-0.0820035,3.59912,-0.0852268,2.69455,PASS
tt,3.6,1.65,1.30513E-09,-0.0634749,3.59975,-0.0658096,2.88476,PASS
tt,3.6,2.0,1.31932E-09,-0.0382005,3.59969,-0.0661611,3.05299,PASS
tt,3.6,2.4,1.3445E-09,-0.0294159,3.59968,-0.0323412,3.1923,PASS
tt,3.6,2.8,1.37547E-09,-0.0227856,3.59984,-0.0245557,3.28213,PASS
